Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,prix_euro,Brand,Model
maruti wagon r lxi cng,mumbai,2010,72000,cng,manual,first,26.6,998.0,58.16,5.0,,1925.0,maruti,wagon
hyundai creta 1.6 crdi sx option,pune,2015,41000,diesel,manual,first,19.67,1582.0,126.2,5.0,,13750.0,hyundai,creta
honda jazz v,chennai,2011,46000,petrol,manual,first,18.2,1199.0,88.7,5.0,8.61 lakh,4950.0,honda,jazz
maruti ertiga vdi,chennai,2012,87000,diesel,manual,first,20.77,1248.0,88.76,7.0,,6600.0,maruti,ertiga
audi a4 new 2.0 tdi multitronic,coimbatore,2013,40670,diesel,automatic,second,15.2,1968.0,140.8,5.0,,19513.999999999996,audi,a4
hyundai eon lpg era plus option,hyderabad,2012,75000,lpg,manual,first,21.1,814.0,55.2,5.0,,2585.0,hyundai,eon
nissan micra diesel xv,jaipur,2013,86999,diesel,manual,first,23.08,1461.0,63.1,5.0,,3850.0,nissan,micra
toyota innova crysta 2.8 gx at 8s,mumbai,2016,36000,diesel,automatic,first,11.36,2755.0,171.5,8.0,21 lakh,19250.0,toyota,innova
volkswagen vento diesel comfortline,pune,2013,64430,diesel,manual,first,20.54,1598.0,103.6,5.0,,5720.0,volkswagen,vento
tata indica vista quadrajet ls,chennai,2012,65932,diesel,manual,second,22.3,1248.0,74.0,5.0,,2145.0,tata,indica
maruti ciaz zeta,kochi,2018,25692,petrol,manual,first,21.56,1462.0,103.25,5.0,10.65 lakh,10944.999999999998,maruti,ciaz
honda city 1.5 v at sunroof,kolkata,2012,60000,petrol,automatic,first,16.8,1497.0,116.3,5.0,,4939.0,honda,city
maruti swift vdi bsiv,jaipur,2015,64424,diesel,manual,first,25.2,1248.0,74.0,5.0,,6160.0,maruti,swift
land rover range rover 2.2l pure,delhi,2014,72000,diesel,automatic,first,12.7,2179.0,187.7,5.0,,29700.0,land rover,range rover
land rover freelander 2 td4 se,pune,2012,85000,diesel,automatic,second,0.0,2179.0,115.0,5.0,,19250.0,land rover,freelander
mitsubishi pajero sport 4x4,delhi,2014,110000,diesel,manual,first,13.5,2477.0,175.56,7.0,32.01 lakh,16500.0,mitsubishi,pajero
honda amaze s i-dtech,kochi,2016,58950,diesel,manual,first,25.8,1498.0,98.6,5.0,,5940.0,honda,amaze
maruti swift ddis vdi,jaipur,2017,25000,diesel,manual,first,28.4,1248.0,74.0,5.0,,6589.0,maruti,swift
renault duster 85ps diesel rxl plus,kochi,2014,77469,diesel,manual,first,20.45,1461.0,83.8,5.0,,6974.0,renault,duster
mercedes-benz new c-class c 220 cdi be avantgare,bangalore,2014,78500,diesel,automatic,first,14.84,2143.0,167.62,5.0,,30800.0,mercedes-benz,new
