Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,prix_euro,marque_modele
2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1925.0,Maruti Wagon
2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13750.0,Hyundai Creta
2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4950.0,Honda Jazz
2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6600.0,Maruti Ertiga
2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,19513.999999999996,Audi A4
2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2585.0,Hyundai EON
2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3850.0,Nissan Micra
2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,19250.0,Toyota Innova
2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5720.0,Volkswagen Vento
2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,2145.0,Tata Indica
2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10944.999999999998,Maruti Ciaz
2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4939.0,Honda City
2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6160.0,Maruti Swift
2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,29700.0,Land Rover
2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,19250.0,Land Rover
2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,16500.0,Mitsubishi Pajero
2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5940.0,Honda Amaze
2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,6589.0,Maruti Swift
2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6974.0,Renault Duster
2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,30800.0,Mercedes-Benz New
2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20405.0,BMW 3
2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,9075.0,Maruti S
2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,25850.0,Audi A6
2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2057.0,Hyundai i20
2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,3135.0,Volkswagen Vento
2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4675.0,Honda City
2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4675.0,Nissan Micra
2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,3025.0,Maruti Alto
2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10890.0,Honda WRV
2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4400.0,Toyota Innova
2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8525.0,Renault Duster
2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,7425.0,Toyota Corolla
2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,13750.0,Mahindra Ssangyong
2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,12650.0,Audi A6
2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,7678.0,Volkswagen Vento
2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,2034.9999999999998,Maruti Wagon
2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9493.0,Maruti Vitara
2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,5334.999999999999,Mahindra KUV
2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,30800.0,Mercedes-Benz M-Class
2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5500.0,Volkswagen Polo
2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1375.0,Maruti Alto
2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1683.0,Tata Nano
2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,6138.0,Mahindra KUV
2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,5214.0,Hyundai i20
2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,9735.0,Hyundai Elantra
2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,11121.0,Toyota Corolla
2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4675.0,Hyundai Elantra
2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,12045.0,Toyota Innova
2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,4235.0,Hyundai Xcent
2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,6050.0,Mahindra Thar
2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23573.0,Audi A4
2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4675.0,Maruti Swift
2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3630.0,Maruti Swift
2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,4235.0,Maruti Swift
2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3959.9999999999995,Hyundai Grand
2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,4389.0,Volkswagen Vento
2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3630.0,Renault KWID
2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2276.9999999999995,Hyundai i10
2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,8525.0,Nissan X-Trail
2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2475.0,Maruti Zen
2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,18150.0,Toyota Innova
2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3025.0,Ford Figo
2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,29370.0,Mercedes-Benz New
2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,11000.0,Mercedes-Benz New
2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2750.0,Tata Indica
2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,14850.0,Audi A4
2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,2034.9999999999998,Honda City
2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,39237.0,Mercedes-Benz C-Class
2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8965.0,Maruti Ertiga
2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,11550.0,Hyundai Creta
2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,15949.999999999998,Porsche Cayenne
2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,10615.0,Mahindra XUV500
2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3828.0,Hyundai i10
2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,7612.0,Nissan Terrano
2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,7106.0,Honda Brio
2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,32449.999999999996,Audi A6
2008,111111,Diesel,Manual,First,17.8,1399.0,113.0,5.0,2200.0,Ford Fiesta
2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4950.0,Toyota Innova
2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12925.0,Toyota Innova
2005,87591,Petrol,Manual,First,0.0,1086.0,113.0,5.0,1430.0,Hyundai Santro
2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4125.0,Maruti Swift
2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4950.0,Tata Zest
2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,5302.0,Honda Amaze
2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3080.0,Ford Figo
2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3421.0,Maruti Ritz
2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3575.0,Honda City
2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,15290.0,BMW 5
2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2475.0,Hyundai i10
2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,6325.0,Hyundai Grand
2007,73745,Petrol,Manual,First,17.0,1086.0,113.0,5.0,2310.0,Hyundai Santro
